id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,description,directors,main_characters
383778,Sinatra and Friends,0.0,0,Released,1977-04-20,0,50,False,/qa8Znrk1U58qnPaItl5RPamyJ6k.jpg,0,,tt0424445,en,Sinatra and Friends,"Sinatra and Friends was a television special that aired on April 21, 1977. Featuring contemporary artists such as John Denver and Natalie Cole, as well as Dean Martin, Tony Bennett, Loretta Lynn, Leslie Uggams and Robert Merrill, Sinatra performs duets of standards in different styles such as folk and disco in addition to each singer performing solo.",0.957,/ex3T73oPJyeJRloiLHtWWYromQw.jpg,,,,,,,"Sinatra And Friends opens with Where And When featuring Natalie Cole, John Denver, Tony Bennett, Loretta Lynn, Leslie Uggams and Robert Merrill. Sinatra performs duets of standards in different styles such as folk and disco in add...",Bill Davis,"Frank Sinatra, Tony Bennett, Natalie Cole"
383781,Raiders of the Desert,0.0,0,Released,1941-07-17,0,61,False,/k86LDkQhfbA0kQVfI3OE1kDIxR3.jpg,0,,tt0034081,en,Raiders of the Desert,"Two American leave a ship where they had stowed away, in a Middle Eastern port and wind up in the fighting in a brutal civil war",0.749,/8D9vwafoFiptMitPlmz0SuRwn9S.jpg,DEFYING A DESERT DESPOT!,"Action, Adventure",Universal Pictures,United States of America,English,"arabian, damsel in distress, harem girl","Two American adventurers jump ship in a Middle Eastern port, and wind up in the middle of a civil war.",John Rawlins,"Richard Arlen, Andy Devine, Linda Hayes"
221851,Pasión adolescente,0.0,0,Released,2001-06-29,0,91,False,,0,,tt0440704,en,Pasión adolescente,"Monica (Beatriz Luengo), a teenager falls in love with his philosophy professor. Idealizes his feelings, fantasize and invent all kinds of childish tricks to make Fernando (Anibal Soto) pay attention to her. Fernando, meanwhile, appears to lead a married life orderly while maintaining a secret relationship with Diana, the director of the school.",0.961,/u5vEJv2GSylhNlD0dtuuWbdyenK.jpg,,,,Spain,Spanish,,"High school student Mónica falls in love with one of her teachers, and she will do anything to get his attention, even if that means destroying his marriage.",Joaquín Llamas,"Aníbal Soto, Beatriz Luengo, Pepa Pedroche"
383793,NOW/HERE,0.0,0,Released,2010-12-01,0,25,False,,0,,tt2106573,en,NOW/HERE,"After the passing of his mother a man returns to his hometown. He will not only find old friends, but also himself.",0.6,,,,,,,,,David Williamson,"Sura Dohnke, Pieter Genard, Angelo Tijssens"
383796,Marie,0.0,0,Released,2010-10-16,0,17,False,,0,,tt1951188,en,Marie,Marie tries to pick up the pieces of her life after a breakup.,0.6,,,,,,,,,Jozefien Scheepers,"Charlotte Vandermeersch, Geert Van Rampelberg, Thomas Ryckewaert"
383754,The Unseen,0.0,0,Released,2016-10-07,0,0,False,,0,,tt5236656,en,The Unseen,"The Unseen is about art, identity and solitude. It presents three interconnected vignettes that follow three different characters as they slip into spaces in Namibian society mostly unseen.",0.6,/n0jCLYXSvZnIxLBbhsX3LC9xPTs.jpg,,Drama,,Namibia,,,"The Unseen is about art, identity and solitude. It presents three interconnected vignettes that follow three different characters as they slip into spaces in Namibian society mostly unseen.",Perivi Katjavivi,"Esther Beukes, Senga Brockerhoff, Mathew Ishitile"
383798,Memee,0.0,0,Released,2010-01-14,0,10,False,,0,,tt1930404,en,Memee,"A retirement home on a hill. In one of the many rooms lives Memee, surrounded by family pictures. When she looks through her window, she can see a little house with a smoking chimney. In that house lives a saxophonist. He plays, smokes and makes Memee's heart beat a little faster.",0.6,,,,,,,,"A retirement home on a hill. In one of the many rooms lives Memee, surrounded by family pictures. When she looks through her window, she can see a little house with a smoking chimney. In that house lives a saxophonist. He plays, s...",Evelyn Verschoore,
383800,Saint Terrorism,0.0,0,Released,1980-06-21,0,127,False,,0,,tt11111756,ja,聖テロリズム,"The daily life of young people at the dawn of the 1980s. One of them murdered passers-by in a park, shooting at random with a gun. One day, she meets a burglar who poisons her victims and confides in him.",0.6,/92MKtIFCtJbVnqBkroxKhjhNpnL.jpg,,,斜眼帯　,Japan,Japanese,,"Multiple stories about people living in an apartment complex intersect - among them, a girl who enjoys shooting strangers and one of her victims reflecting over his death.",Masashi Yamamoto,
383819,Die Stimme hinter dem Vorhang,0.0,0,Released,1971-12-29,0,0,False,,0,,tt1452853,de,Die Stimme hinter dem Vorhang,,1.416,,,Drama,,Germany,,,,Rolf Hädrich,"Michael Heltau, Joachim Ansorge, Carmen-Renate Köper"
383820,Das Konzert,0.0,0,Released,1971-12-08,0,0,False,,0,,tt0939888,de,Das Konzert,,0.654,,,Comedy,,Germany,,,,"C. Rainer Ecke, Gustav Manker","Hans Jaray, Susanne von Almassy, Michael Heltau"
383821,Say Hello,0.0,0,Released,2016-04-01,0,4,False,,0,http://www.filmdispenser.com/,tt5475878,en,Say Hello,Is it destiny? Is it fate? Are they meant to be? Love is a big red truck.,0.6,,Love is a big red truck.,,,United States of America,English,"romance, murder",Girl sees boy. Boy sees girl. Is it love at first sight?,Spencer Howard,"Noel Holmes, Josh Polgardi"
383822,North of Nome,0.0,0,Released,1936-11-14,0,60,False,/3BbyQkGy0c94klDqvEwax2TV8WY.jpg,0,,tt0029320,en,North of Nome,"John Raglan is a seal hunter being hounded by hijackers, so he strands himself on an isolated island in the Bering Sea that is owned by a corporation. During a fierce sea-storm, Raglan rescues the passengers of a floundering ship, which includes the owner of the island, his daughter and her fiancée. The owner threatens to charge Ragland with poaching on private property, and then a gang of seal-skin thieves make an entrance.",0.6,/mLHO7Q8qJDCfhK4uc409DWXlfjQ.jpg,THRILLS IN A LAWLESS LAND WHERE BULLETS RULE...AND SAVAGE MEN TAKE WHAT THEY CRAVE!,"Crime, Adventure","Larry Darmour Productions, Columbia Pictures",United States of America,English,"island, poacher, alaska, hijack, nome alaska, bering sea","John Raglan is a seal hunter being hounded by hijackers, so he strands himself on an isolated island in the Bering Sea that is owned by a corporation. During a fierce sea-storm, Raglan rescues the passengers of a floundering ship,...",William Nigh,"Jack Holt, Evelyn Venable, Guinn &apos;Big Boy&apos; Williams"
383823,Under Suspicion,0.0,0,Released,1937-11-22,0,61,False,/9Z9qi6u1AVHcUtVzPA1qi3Vge6x.jpg,0,,tt0029711,en,Under Suspicion,"Jack Holt stars as Robert Bailey, a Henry Ford-like auto industrialist who decides to give his millions away to various charitable causes. Naturally, this arouses hostility amongst Bailey's friends, relatives and associates, some of whom have murder on their minds.",1.395,/ceGOuajjfHLSIfXjttHhjvUNpBK.jpg,Thrill To The Mystery That Stunned,"Romance, Mystery","Columbia Pictures, Larry Darmour Productions",United States of America,English,"inheritance, stockholder","When auto magnate Robert Bailey announces he is going to retire and turn his plant over to the employees he incurs the enmity of K.Y. Mitchell, a large stockholder in the company; Carey MacGregor, head of a parts manufacturing com...",Lewis D. Collins,"Jack Holt, Katherine DeMille, Luis Alberni"
383765,Counterfeit Lady,0.0,0,Released,1936-12-31,0,58,False,/yDt2xMOzYJStC8upecMGFOYJYbn.jpg,0,,tt0028744,en,Counterfeit Lady,"Phyllis Fowler claims to be just a ""simple little country girl"" trying to get by in the wicked big-city, and she takes a big getting-by step when she pulls a scam that gains her a $17,000 diamond from an exclusive jewelry store. Soon, a private-detective, who has a dupe gem matching the stolen one, the police, and two gangster buddies of the jeweler are all racing each other to get the diamond back from Phyllis. The country-girl provides them all with a wild chase.",0.889,/uFlN9DEEYbHayPPO6Od845djj19.jpg,Plenty of excitement when a private sleuth trails a diamond and a dame---but finds only one phoney!,"Comedy, Action, Adventure",Columbia Pictures,United States of America,English,diamond,"Phyllis Fowler claims to be just a &quot;simple little country girl&quot; trying to get by in the wicked big-city, and she takes a big getting-by step when she pulls a scam that gains her a $17,000 diamond from an exclusive jewelry store. S...",D. Ross Lederman,"Ralph Bellamy, Joan Perry, Douglass Dumbrille"
383726,Immensee,0.0,0,Released,1989-12-26,0,84,False,,0,,tt0097568,de,Immensee,,0.887,/6gG7ytgj9htwvGbG9CIsmfgfdoG.jpg,,"Drama, Romance","Fernsehen der DDR, DEFA","East Germany, Germany",German,,,Klaus Gendries,"Maren Schumacher, Axel Wandtke, Dirk Wäger"
383711,The Penny,0.0,0,Released,2010-10-29,0,88,False,,0,http://www.thepennyfilm.com/,tt1390540,en,The Penny,"""The Penny"" is a drama/thriller that follows a series of seemingly insignificant events in a number of people's lives. Hidden amidst their ""bigger"" problems, these disconnected pieces of their lives go unnoticed until they begin to fit together in a totally unexpected way. Suddenly these strangers are thrust together by what some would call luck, chance, fate, coincidence, or even destiny. But is it something even bigger than that?",0.6,/i8JiVqMXoZojZsLntgSGeLAMAPm.jpg,,"Thriller, Crime, Drama",,,,,"&quot;The Penny&quot; is a drama/thriller that follows a series of seemingly insignificant events in a number of people&apos;s lives. Hidden amidst their &quot;bigger&quot; problems, these disconnected pieces of their lives go unnoticed until they begin t...",Nathan Webster,"Tom Lodewyck, Brian Morvant, Kyle Walters"
383713,Der Lauf des Bösen,0.0,0,Released,1969-10-29,0,0,False,,0,,tt1102259,de,Der Lauf des Bösen,,0.937,,,Drama,,Germany,,,,Ludwig Cremer,"Uta Hallant, Gisela Trowe, Horst Bollmann"
383717,Der zehnte Mann,0.0,0,Released,1968-10-30,0,95,False,,0,,tt0881351,de,Der zehnte Mann,"Is Evelyn Foreman schizophrenic, or is she really possessed by a dybbuk?",0.6,,,Drama,,Germany,,,"Is Evelyn Foreman schizophrenic, or is she really possessed by a dybbuk?",Ludwig Cremer,"Eduard Wandrey, Hans Hessling, Alfred Balthoff"
383718,Goofy Movies Number Five,0.0,0,Released,1934-06-06,0,10,False,,0,,tt0142324,en,Goofy Movies Number Five,"In this short, Pete Smith provides comedic narration over silent film footage.",1.4,/f2sJGRbHo2y2lWq0nk4iRefG0yv.jpg,,Comedy,Metro-Goldwyn-Mayer,United States of America,English,,"Number Five in the series consists of &quot;Whataphony Newsreel&quot;, featuring a thirty-year-old automobile that still works, a plane that flies itself, and race car drivers. Also, Super Stupid Pictures Presents: A Bird In The Hand Is Wor...",,Pete Smith
383719,"Philadelphia, ich bin da!",0.0,0,Released,1967-09-25,0,0,False,,0,,tt0437421,de,"Philadelphia, ich bin da!",,0.664,,,Drama,,Germany,,,,Karl Fruchtmann,"Peter Striebeck, Berta Drews, Karl Hellmer"
383723,Goofy Movies Number Ten,0.0,0,Released,1934-12-01,0,10,False,,0,,tt0142329,en,Goofy Movies Number Ten,"This entry in the ""whole show on one reel"" series begins with a do-it-yourself overture for which the narrator asks the audience to hum any song they like. Next, the ""Wotaphony Newsreel"" shows clips of early experimental aircraft failing to fly. The ""Added Attraction"" is a clip of a bear jumping into a large fish tank and trying to catch the fish. Finally, the ""Super Stupid Pictures"" feature is a narrated silent film telling the life story of an ill-fated woman who was left on a doorstep as an infant, was taken advantage of by men for most of her life, and then came to a sad end after she had turned the tables on them. - Written by TimeNTide on IMDB",0.6,,,Comedy,Metro-Goldwyn-Mayer,United States of America,English,,"This &quot;whole show on one reel&quot; short features planes that can&apos;t fly, a bear that can&apos;t fish, and a woman who can&apos;t catch a break in life.",,
383725,Forgive Me,0.0,0,Released,2001-10-18,0,83,False,,0,,tt0287092,en,Vergeef me,"(Vergeef me) - Forgive me is the film adaptation of Cyrus Frisch his controversional play ""Jesus/Lover"", which was performed by hard-drug addicts and alcoholics. This film with Frisch as Jesus disguised as Jerry Springer is not light on the stomach. But those who can take it will get to know some extraordinary people... Frisch first plays with the actors by openly exceeding the borders of the acceptable the idealistic filmmaker hopes the stream of violence and misery on television will finally come to an end. The praise he gained after the first screening of these brutal scenes with the social outcasts he filmed made him outrageous. The director sells himself to the devil and goes even further in the abuse of his protagonists. How long can the viewer stay a passive accomplice?",0.6,,,,,,Dutch,,"Hoping to end the stream of violence and misery on television, the idealistic filmmaker Cyrus Frisch strikes a deal with the devil and openly sets out to destroy his protagonists. How long can the viewer stay a passive accomplice?",Cyrus Frisch,"Nico, Chiquita, Peter"
221869,Drive By,0.0,0,Released,2002-01-14,0,97,False,,0,,tt0306749,en,Drive By,"This film is based on a true story about gang life on the streets of Chicago. Ceasar, a young teen, seeks acceptance and membership into the Brotherhood, a gang lead by his older brother, Kiko. Set on breaking the family gang cycle, Kiko fights to keep Ceasar away from a life of crime and violence while others set out to destroy an entire family and the Brotherhood",0.6,,,,,,,,"This film is based on a true story about gang life on the streets of Chicago. Ceasar, a young teen, seeks acceptance and membership into the Brotherhood, a gang lead by his older brother, Kiko. Set on breaking the family gang cycl...",Juan Frausto,"Rebecca Foster, Mario Acosta, Leticia Andrade"
383733,Dansen met Travolta,0.0,0,Released,2010-10-12,0,19,False,,0,,tt1753655,en,Dansen met Travolta,"Heleen wants to take part in a dance audition organized by John Travolta. But to do so, she has to ask her former partner and lover John for help.",0.6,,,,,,,,"Heleen wants to take part in a dance audition organized by John Travolta. But to do so, she has to ask her former partner and lover John for help.",Lenny Van Wesemael,"Laura Vanborm, Arend Pinoy, Bert Haelvoet"
383735,Misschien Later,0.0,0,Released,2010-09-10,0,24,False,,0,,tt1789844,en,Misschien Later,Different impressions from the lives of different people,0.6,,,,,,,woman director,"Everyone is busy. Everyone has to ... because there are constant expectations. People have started lots of things, but one way or another, they never get round to finishing them. They think all kinds of things about others, and th...",Moon Blaisse,"Elsie de Brauw, Jochum ten Haaf, Tom Jansen"
383736,This Is Japan,0.0,0,Released,1963-06-22,0,100,False,,0,,tt1634336,ja,日本残酷物語,"Japanese ""mondo"" film.",0.6,,,Documentary,"Shintoho Kogyo, Shibata Production",Japan,Japanese,mondo,,"Kiyoshi Komori, Nobuo Nakagawa, Ten Takahashi",Teru Miyata
221874,El precio de una Miss,0.0,0,Released,2005-04-03,0,80,False,,0,,tt0460537,es,El precio de una Miss,"The story of Amanda, Pepa and Inaki, a team of young journalists who suspect that the jury of the national beauty contest is bought off. Amanda, accepts the challenge of introducing herself in the spanish national beauty contest falsely disguised as a pageant. With the help of Pepa and Inaki Amanda's mission will be to uncover the dark truth that lies behind the organization. Written by Anonymous",0.6,,,"Comedy, TV Movie",,Spain,Spanish,,"The story of Amanda, Pepa and Inaki, a team of young journalists who suspect that the jury of the national beauty contest is bought off. Amanda, accepts the challenge of introducing herself in the spanish national beauty contest f...",Carles Vila,"David Aleman, Victoria Ampudia, Sonia Castelo"
221871,Our Daily Bread,0.0,0,Released,2009-08-14,0,5,False,,0,,tt1527180,en,Our Daily Bread,A short documentary on how one family lives out each day to earn their daily bread. How one man's trash is literally transformed into this family's treasure.,0.805,,,,Filmless Films,Philippines,Tagalog,,,Khavn,
383825,Ballad of Old Weapons,0.0,0,Released,1986-05-12,0,81,False,,0,,tt0266296,ru,Баллада о старом оружии,An old woman from Caucasian Mountains goes to the front line do give her sons weapons of their ancestors.,0.84,/5xwSoHOW1aMtW5BV8CkwpBO3etO.jpg,,"War, Drama",,Soviet Union,Russian,great patriotic war,,Gennadi Voronin,"Patimat Khizroyeva, Sergei Skripkin, Aleksandr Demyanenko"
383827,Bed Companions,0.0,0,Released,1988-01-28,0,88,False,/6sB0lC3r0ieBHCXCnBvjXzEyFyy.jpg,0,,tt0183210,cn,花心野玫瑰,"A story about a love affairs of Mr. Sun, his wife, her lover, his boyfriend and so on...",0.897,/8KCnclEEXaGc2JaQSBACWzJAs33.jpg,,,"Kam Bo Motion Picture Co., Filmline Enterprises",Hong Kong,Cantonese,,The frequent trips to Korea by a businessman put a strain on his relationship with his wife and things only get worse when he gets involved with a gang of jewel thieves.,Ngan-Ting Cheung,"Jo-Jo Ngan, Chi-Mei Chin, Charlie Cho"
383893,The Mutant,0.0,0,Released,1987-08-01,0,88,False,,0,,tt2186699,zh,白色酢漿草,"A story about a school girl with curly hair, during the time of hairstyle restrictions in Taiwan, who learns to appreciate her hair after learning about genetic diversity in biology class.",0.6,,,,Hong Tai Motion Picture Company Ltd.,Taiwan,Mandarin,,,Ming-Cheng Chiu,"Hung-Mei Hsiao, Michael Kiu Wai Miu, Chia-yung Chao"
221814,Free and Easy,0.0,0,Released,1931-10-01,0,8,False,,0,,tt0026383,en,Free and Easy,"A hobo named the Professor and his son, Charlie McCarthy, believe there's money buried in an abandoned house which was previously owned by a fellow named Herbie Larkin. Pretending to be Herbie's brother, the Professor dreams of finding the money by consulting a gypsy fortune teller, who conjures up more than Charlie likes. The reality of the situation eventually sets in.",0.6,/k5H8geEtF6UhWSdutNyDdr0HCXU.jpg,,Comedy,"The Vitaphone Corporation, Warner Bros. Pictures",United States of America,English,"fortune teller, gypsy, ventriloquism, hobo",Charlie McCarthy and the Professor are among a group of hobos sitting around a campfire in a railroad yard. They dream of visiting a gypsy fortune teller to find the location of money buried in an abandoned house.,Roy Mack,"Edgar Bergen, Charlie McCarthy, Christina Graver"
383890,Sunny Leone Loves HD Porn,0.0,0,Released,2010-02-05,0,169,True,,0,,tt2404387,en,Sunny Leone Loves HD Porn,"At the dawn of HD porn, Sunny Leone was on the cutting edge, demonstrating he quality of a pornographic experience that could be played on the big screen with clarity and quality of and feature film. While HD is the standard today, the early adopters brought some o the hottest scenes to your home screens.",2.527,/hy6wnDU8be0dCkB74kSWC8sDj15.jpg,,,Vivid Entertainment,United States of America,,woman director,,Sunny Leone,"Sunny Leone, Nikki Benz, Audrey Bitoni"
383832,Some of These Days,0.0,0,Released,1955-01-01,0,9,False,,0,,tt1570646,fi,Näinä päivinä,A short documentary where Helsinki in the springtime is displayed in her poetic ugliness.,0.6,,,Documentary,Kansan Elokuva,Finland,Finnish,"helsinki, finland",,Jörn Donner,Tarmo Manni
383896,Elizabeth Bathory,0.0,0,Released,,0,82,False,,0,https://www.facebook.com/Elizabeth-Bathory-499702346755029/,tt3518858,en,Elizabeth Bathory,Two women find themselves in a dark dungeon tormented by distant memories of the horrific legend of Countess Elizabeth Bathory and looming feelings of sinister forces as they struggle to find an escape.,0.6,,,,,United States of America,English,,Two women find themselves in a dark dungeon tormented by distant memories of the horrific legend of Countess Elizabeth Bathory and looming feelings of sinister forces as they struggle to find an escape.,Elizabeth Nixon,"Lescha Carpenter, Kathleen Denecke, Jon Elston"
383898,Return to the Promised Land,0.0,0,Released,1991-01-01,0,87,False,,0,,tt0105731,hy,Veradardz avetyats yerkir,"For many ages the Armenian nation, having no statehood, has concentrated all its values in the family and made it the center of the national spirit. The main characters of the film arrived in northern Armenia and not from paradise. They are refugees who escaped from violence. Both of them are young. The woman is pregnant. They create a world around themselves, and thus create themselves.",0.6,/gWMTAwzxAz2Jt8aYdLQJlystw9T.jpg,,"Documentary, Drama",Armenia Studio,Soviet Union,Armenian,,"For many ages the Armenian nation, having no statehood, has concentrated all its values in the family and made it the center of the national spirit. The main characters of the film arrived in northern Armenia and not from paradise...",Harutyun Khachatryan,"Razmik Asatryan, Mariam Bozoyan, Surik Zurnachyan"
383899,Das Ei ist eine geschissene Gottesgabe,0.0,0,Released,1993-12-03,0,90,False,,0,,tt0106794,de,Das Ei ist eine geschissene Gottesgabe,The film is a documentary about life on a farm near Bad Toelz in Bavaria. Only the people which are portrait are shown and speak. The fundamental difference 'Das Ei ist eine geschissene Gottegabe' has very much humor althought the people only tell true stories and their real oppinions.,0.6,/zPo0zYXRO59gMgBFWLgrWNv9APq.jpg,,Documentary,"Horres Film + TV, Kick Film & Fernsehproduktions GmbH, BR",Germany,German,,The film is a documentary about life on a farm near Bad Toelz in Bavaria. Only the people which are portrait are shown and speak. The fundamental difference &apos;Das Ei ist eine geschissene Gottegabe&apos; has very much humor althought the...,Dagmar Wagner,
383900,Sonntagsgeschichten,0.0,0,Released,1976-12-26,0,65,False,,0,,tt1442537,de,Sonntagsgeschichten,,1.121,,,,"ZDF, Neue Münchner Fernsehproduktion (NMF)",Germany,German,,,Kurt Hoffmann,"Martin Benrath, Christine Wodetzky, Edith Schultze-Westrum"
383904,Der Lehrer und andere Schulgeschichten,0.0,0,Released,1984-12-26,0,59,False,,0,,tt1160738,de,Der Lehrer und andere Schulgeschichten,,0.6,,,Family,TV 2000 Film- und Fernsehproduktions GmbH,Germany,German,,,Alfred Vohrer,"Klaus Schwarzkopf, Luitgard Im, Hans-Jürgen Schatz"
383907,Auf ein Neues,0.0,0,Released,1988-01-01,0,55,False,,0,,tt2973232,de,Auf ein Neues,,0.6,,,Documentary,"NDR, Polyphon",Germany,German,,,"Jörn Karpinski, Axel von Ambesser","Gert Fröbe, Axel von Ambesser"
383908,So ein Theater,0.0,0,Released,1984-04-24,0,47,False,,0,,tt1449254,de,So ein Theater,,1.09,,,,"NDR, Aspekt Telefilm",Germany,German,,"The passionate seducer Robert has made all the preparations perfectly to spend a fun evening with Solange, the wife of his friend Fressinet.",Wolfgang Staudte,"Willy Bartelsen, Uwe Dallmeier, Uwe Friedrichsen"
383877,Das Pferd,0.0,0,Released,1964-09-09,0,0,False,,0,,tt0436667,de,Das Pferd,,0.863,,,Comedy,,Germany,,,,"Boy Gobert, Erich Neuberg","Klausjürgen Wussow, Karl Schönböck, Georg Thomas"
383876,Kabale und Liebe,0.0,0,Released,1967-10-24,0,0,False,,0,,tt1252395,de,Kabale und Liebe,,0.84,,,Drama,,Austria,,,,Erich Neuberg,"Werner Hinz, Michael Heltau, Judith Holzmeister"
383875,Ostern,0.0,0,Released,1968-04-10,0,0,False,,0,,tt0416095,de,Ostern,,0.841,,,Drama,,Germany,,,,Wilm ten Haaf,"Paula Denk, Michael Heltau, Donata Höffer"
383874,Der Feldmarschall,0.0,0,Released,1968-11-21,0,0,False,,0,,tt1207662,de,Der Feldmarschall,,1.091,,,Drama,,Austria,,,,Hermann Kutscher,"Bernhard Wicki, Anaid Iplicjian, Michael Heltau"
383833,Raamit ränniin,0.0,0,Released,1985-01-01,0,63,False,,0,,tt0236653,fi,Raamit ränniin,"A boy dreams to become like his ski jumping idol Jari Puikkonen. However, his parents are worried because he neglects the school. One day while going on practice, he rescues a baby left in a car with no parking brake hooked back up. The baby happens to be Puikkonen's son.",0.928,,,"Drama, TV Movie",YLE,Finland,Finnish,"ski jump, finland","A boy dreams to become like his ski jumping idol Jari Puikkonen. However, his parents are worried because he neglects the school. One day while going on practice, he rescues a baby left in a car with no parking brake hooked back u...",Hannu Kahakorpi,"Konsta Mäkelä, Maija-Liisa Peuhu, Uula Laakso"
383834,No Time To Marry,0.0,0,Released,1938-02-05,0,63,False,/6mma965al5lYzBNrGZphLlKqJQa.jpg,0,,tt0030507,en,No Time To Marry,"In this lightweight comedy, two news reporters who are engaged to be married endure romantic difficulties in their competitive pursuit of a ""big scoop"".",0.746,/4lMFdnun5kb0cHx7hd4TUMQ0wzK.jpg,"Hey nanny, nanny! They get his goat!",Comedy,Columbia Pictures,United States of America,English,"marriage, reporter","In this lightweight comedy, two news reporters who are engaged to be married endure romantic difficulties in their competitive pursuit of a &quot;big scoop&quot;.",Harry Lachman,"Richard Arlen, Mary Astor, Lionel Stander"
