user_id,movie_id,interaction_type,points
233,m/1093874-superstar,watch,3.65
234,m/1144274-sahara,click,1.0
234,m/cook_off,search,1.0
234,m/in_darkness_2011,add_to_watchlist,2.0
234,m/palio,add_to_watchlist,2.0
235,m/menashe,search,1.0
236,m/house_of_cards_1992,watch,3.5
238,m/bonnie_and_clyde,add_to_watchlist,2.0
239,m/mara_2018,search,1.0
239,m/swiped_2018,search,1.0
241,m/event_horizon,search,1.0
241,m/invictus,watch,3.25
241,m/someone_great,review,3.0
244,m/exit_wounds,watch,4.45
244,m/ip_man,watch,3.5
244,m/operation_finale,watch,4.8
244,m/the_beguiled,search,1.0
244,m/the_call_2013,watch,3.5
245,m/house_at_the_end_of_the_street,watch,3.0
245,m/knock_knock_2015,watch,3.5
245,m/rocky_v,watch,3.5
246,m/the_princess_switch,click,1.0
247,m/ghosts_of_war,add_to_watchlist,2.0
248,m/extinction_2015,search,1.0
248,m/our_house_2018,search,1.0
249,m/big_fat_liar,click,1.0
249,m/rainbow_time,click,1.0
251,m/karate_kid_2010,add_to_watchlist,2.0
251,m/the_captive_2014,review,3.0
252,m/bokeh_2017,watch,4.5
253,m/arthur_christmas,watch,3.05
253,m/frances_ha,watch,4.8
253,m/wolves_2016,watch,4.6
254,m/aftermath_2017,review,3.0
254,m/malevolent_2018,watch,4.5
255,m/spring_breakers_2013,watch,3.5
256,m/forks_over_knives,search,1.0
256,m/greater,click,1.0
256,m/richie_rich,watch,4.55
256,m/tears_of_the_sun,click,1.0
256,m/the_sunshine_makers_2017,click,1.0
258,m/1093854-miss_julie,watch,3.5
258,m/forbidden_planet,add_to_watchlist,2.0
258,m/term_life,add_to_watchlist,2.0
259,m/1210249-last_word,search,1.0
260,m/10006057-moonlight,watch,3.5
260,m/eden_1998,add_to_watchlist,2.0
260,m/men_who_stare_at_goats,search,1.0
260,m/sling_blade,search,1.0
261,m/cop_car,review,3.0
261,m/the_pirate_fairy_2014,click,1.0
262,m/fracture,add_to_watchlist,2.0
263,m/hope_springs_eternal_2018,click,1.0
263,m/wakefield,watch,3.5
266,m/candyman,add_to_watchlist,2.0
268,m/taken,watch,3.15
269,m/air_strike_2018,search,1.0
269,m/eli_2019,review,3.0
269,m/young_adult,review,3.0
270,m/holiday_in_the_wild,search,1.0
271,m/10009493-duchess,watch,3.5
271,m/life_after_beth,search,1.0
273,m/new_money,click,1.0
274,m/1922_2017,search,1.0
274,m/safe_2011,watch,3.8
275,m/point_blank_2019,search,1.0
275,m/the_family_2013,watch,4.15
277,m/the_duel_2016,watch,3.5
278,m/american_history_x,watch,4.7
278,m/hairspray,add_to_watchlist,2.0
281,m/guzaarish_2010,watch,2.6
281,m/shirkers,search,1.0
281,m/solomon_kane,click,1.0
281,m/some_freaks,watch,3.5
282,m/1198124-shutter_island,add_to_watchlist,2.0
282,m/mad_max,search,1.0
282,m/one_day_2014,click,1.0
284,m/1107902-angel_eyes,search,1.0
284,m/1195103-happy_go_lucky,watch,3.8
284,m/freaks,add_to_watchlist,2.0
284,m/ghost_rider,watch,4.85
285,m/officer_downe,search,1.0
285,m/the-company-men,search,1.0
289,m/before_the_flood_2016,watch,3.4
290,m/gigi,watch,4.05
290,m/mirror_has_two_faces,watch,3.5
291,m/crow,watch,3.35
292,m/red_joan,click,1.0
292,m/the_call_2013,watch,3.1
294,m/room_2015,search,1.0
294,m/the_vatican_tapes_2015,watch,4.7
297,m/house_party,review,3.0
298,m/1166237-pizza,search,1.0
299,m/forget_me_not_2010,watch,4.95
300,m/chicken_little,search,1.0
301,m/1112708-conspiracy,click,1.0
301,m/the_circle_2017,click,1.0
302,m/lifechanger,watch,3.5
302,m/machete_kills,watch,3.5
304,m/the_rachel_divide,review,3.0
305,m/1016239-phantom_of_the_opera,watch,4.75
305,m/the_hunt_2012,search,1.0
306,m/daddy_day_care,add_to_watchlist,2.0
306,m/fractured,click,1.0
306,m/the_young_messiah,review,3.0
307,m/middle_men,review,3.0
309,m/emelie,click,1.0
309,m/evolution_2016,search,1.0
310,m/little_vampire,review,3.0
310,m/the_last_face_2017,search,1.0
311,m/detention_2011,watch,2.75
312,m/how_to_train_your_dragon_2,click,1.0
312,m/streets_of_fire,search,1.0
312,m/the_polka_king,click,1.0
313,m/dark_places_2015,click,1.0
313,m/house_party_2,search,1.0
313,m/maniac_2013,click,1.0
313,m/the_smurfs_2,search,1.0
314,m/burning_sands_2017,search,1.0
314,m/mad_max,watch,3.9
314,m/sin_city,watch,3.5
314,m/the_highwaymen,search,1.0
316,m/37_seconds,add_to_watchlist,2.0
316,m/burlesque,click,1.0
316,m/the_king_2006,watch,3.5
317,m/1141892-employee_of_the_month,add_to_watchlist,2.0
317,m/mfkz,review,3.0
318,m/flipped,watch,4.05
318,m/streets_of_fire,search,1.0
318,m/the_happytime_murders_2017,search,1.0
319,m/little_sister_2016,add_to_watchlist,2.0
319,m/the_humanity_bureau,watch,4.6
321,m/natural_selection_2011,search,1.0
321,m/the_breadwinner,watch,3.5
321,m/yoga_hosers,click,1.0
322,m/equals_2016,add_to_watchlist,2.0
323,m/28_days,watch,2.8
324,m/the_perfect_match_2016,search,1.0
324,m/the_water_diviner,watch,4.7
325,m/man_of_tai_chi,search,1.0
326,m/babel,watch,4.1
326,m/creep_2014,search,1.0
326,m/den_of_thieves,watch,3.5
326,m/sliver,watch,3.4
326,m/stuart_little_2,add_to_watchlist,2.0
326,m/the_inbetweeners,review,3.0
327,m/equals_2016,click,1.0
327,m/the_family_2013,add_to_watchlist,2.0
328,m/bee_movie,add_to_watchlist,2.0
328,m/flipped,watch,2.6
328,m/safety_not_guaranteed,search,1.0
329,m/one_of_us_2017,watch,3.75
330,m/10010077-felon,watch,3.5
330,m/the_railway_man,watch,3.3
330,m/transformer,watch,2.8
332,m/the_kindergarten_teacher_2018,review,3.0
333,m/the_girl_on_the_train_2016,watch,4.1
335,m/1213999-brothers,search,1.0
335,m/justice,watch,3.5
335,m/marriage_story_2019,add_to_watchlist,2.0
336,m/opening_night,search,1.0
337,m/a_wrinkle_in_time_2018,review,3.0
337,m/backcountry,review,3.0
337,m/final_destination_2,review,3.0
337,m/quigley_down_under,click,1.0
337,m/the_foreigner_2017,search,1.0
338,m/teenage_cocktail,search,1.0
339,m/i_am_woman,add_to_watchlist,2.0
339,m/the_girl_with_the_dragon_tattoo,add_to_watchlist,2.0
340,m/1215790-carriers,click,1.0
340,m/welcome_home_roscoe_jenkins,search,1.0
341,m/10010229-dostana,watch,2.55
341,m/crow,watch,4.9
343,m/my-girl-2,click,1.0
343,m/unbroken_2014,watch,3.5
346,m/marriage_story_2019,add_to_watchlist,2.0
348,m/1125409-cabin_fever,click,1.0
349,m/event_horizon,click,1.0
349,m/phantom_of_the_opera,watch,3.5
349,m/shimmer_lake,search,1.0
350,m/raging_bull,search,1.0
352,m/1121649-anger_management,add_to_watchlist,2.0
352,m/good_luck_chuck,watch,3.35
352,m/grease,search,1.0
352,m/walk_to_remember,add_to_watchlist,2.0
354,m/american_circumcision,click,1.0
354,m/sun_dogs_2017,search,1.0
354,m/time_trap,watch,2.8
355,m/1006037-doctor_zhivago,review,3.0
355,m/sweetheart,click,1.0
356,m/big_fat_liar,click,1.0
357,m/grand_hotel,review,3.0
357,m/love_guru,search,1.0
357,m/maktub_2018,add_to_watchlist,2.0
357,m/the_challenge_1982,review,3.0
358,m/1036129-miracle,add_to_watchlist,2.0
358,m/jaws_3,add_to_watchlist,2.0
358,m/lockout_2012,search,1.0
358,m/miss_virginia,watch,3.5
358,m/naked_2017,watch,3.5
358,m/the_tribes_of_palos_verdes,add_to_watchlist,2.0
360,m/1196003-princess_and_the_frog,watch,3.05
360,m/om_shanti_om,click,1.0
360,m/standoff_2016,watch,3.5
361,m/1922_2017,watch,3.5
361,m/hickok_2017,click,1.0
361,m/mars,watch,3.5
361,m/the_lovers_2015,watch,3.5
362,m/1020889-target,search,1.0
362,m/clash_of_the_titans,watch,4.3
362,m/haunting_of_molly_hartley,watch,3.85
362,m/night_on_earth,review,3.0
363,m/donnie_brasco,watch,4.4
364,m/mean_dreams,add_to_watchlist,2.0
365,m/a_tale_of_love_and_darkness,search,1.0
365,m/immortals_2011,search,1.0
366,m/1113402-human_nature,watch,2.7
366,m/father_of_the_year,watch,2.85
366,m/lifechanger,search,1.0
366,m/quincy,watch,3.1
367,m/danny_says,search,1.0
368,m/a_wrinkle_in_time_2018,review,3.0
368,m/spotlight_2015,search,1.0
369,m/1038009-rush,search,1.0
369,m/shooter,click,1.0
371,m/at_first_light,watch,3.5
371,m/christmas_inheritance,watch,2.7
371,m/clockwork_orange,review,3.0
371,m/little_sister_2016,watch,3.4
372,m/mudbound,search,1.0
372,m/what_lies_beneath,watch,3.9
373,m/brotherhood_2010,click,1.0
374,m/1166237-pizza,add_to_watchlist,2.0
374,m/1220551-bounty_hunter,watch,3.5
374,m/the_con_is_on,search,1.0
375,m/inspector_gadget,review,3.0
375,m/my_entire_high_school_sinking_into_the_sea,search,1.0
375,m/the_danish_girl_2015,review,3.0
375,m/the_heartbreak_kid,search,1.0
377,m/1111645-behind_enemy_lines,review,3.0
377,m/pusher,review,3.0
377,m/safe_house_2012,search,1.0
378,m/mars,search,1.0
378,m/nocturnal_animals,add_to_watchlist,2.0
380,m/asoka,click,1.0
385,m/in_my_country,click,1.0
385,m/in_the_line_of_fire,watch,3.5
385,m/triple_threat_2019,search,1.0
386,m/10006856-requiem,watch,3.6
386,m/the_bleeding_edge,search,1.0
387,m/1922_2017,click,1.0
387,m/delirium_2018,click,1.0
387,m/horse_girl,watch,4.45
388,m/miss_virginia,click,1.0
389,m/otherhood,add_to_watchlist,2.0
390,m/a_thousand_words,review,3.0
390,m/balto,add_to_watchlist,2.0
390,m/match_2014,search,1.0
390,m/secret_in_their_eyes_2015,search,1.0
390,m/tread,watch,4.85
391,m/feel_the_beat,review,3.0
391,m/rim_of_the_world,watch,3.2
391,m/wolves_2016,search,1.0
392,m/1133499-1133499-terminal,add_to_watchlist,2.0
392,m/the_angry_birds_movie_2,review,3.0
393,m/backtrack_2016,watch,3.5
393,m/bad_education,review,3.0
394,m/birth_of_the_dragon,watch,4.05
394,m/the_nutcracker_and_the_four_realms,click,1.0
395,m/sweet_virginia_2017,watch,2.8
395,m/the_karate_kid_part_iii,watch,3.5
395,m/the_little_hours,add_to_watchlist,2.0
396,m/bokeh_2017,click,1.0
396,m/disconnect_2013,watch,4.8
396,m/hangman_2017,review,3.0
396,m/the_guest_2014,add_to_watchlist,2.0
398,m/headshot_2010,click,1.0
398,m/the_monster_2016,add_to_watchlist,2.0
399,m/10011735-beautiful_life,add_to_watchlist,2.0
399,m/iris_2015,search,1.0
399,m/rim_of_the_world,review,3.0
400,m/someone_great,add_to_watchlist,2.0
