movie_id,content_type,title,director,cast,country,genres,content_rating,original_release_date,streaming_release_date,runtime,production_company,audience_status,audience_rating,audience_count,description
m/prey_2018,Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",Unknown,"International Movies, Thrillers",PG-13,2019-09-27,2019-09-27,85.0,Cinedigm,Spilled,18.0,38.0,hiking trip wild turn desperate bid survival five friend run mysterious shooter.
m/paradise_hills,Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States","Sci-Fi & Fantasy, Thrillers",NR,2019-10-25,2019-10-01,95.0,Samuel Goldwyn Films,Upright,74.0,396.0,"uma wake lush tropical facility designed turn willful girl perfect ladies. that’s bad enough, real purpose even worse."
m/into_the_night,TV Show,Into the Night,Unknown,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,"International TV Shows, TV Dramas, TV Mysteries",R,1985-02-22,2016-02-10,115.0,Universal,Spilled,49.0,3421.0,passenger crew aboard hijacked overnight flight scramble outrace sun mysterious cosmic event wreaks havoc world below.
m/show_dogs,Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States","Children & Family Movies, Comedies",PG,2018-05-18,2018-08-07,92.0,Global Road Entertainment,Spilled,25.0,706.0,rough tough police dog must go undercover fbi agent prim proper pet dog show save baby panda illegal sale.
m/der_kreis,TV Show,The Circle,Unknown,Michelle Buteau,"United States, United Kingdom",Reality TV,NR,2014-11-14,2016-08-10,102.0,Wolfe Releasing,Upright,78.0,289.0,"status strategy collide social experiment competition show online player flirt, befriend catfish way toward $100,000."
m/the_circle_2017,TV Show,The Circle,Unknown,Michelle Buteau,"United States, United Kingdom",Reality TV,PG-13,2017-04-28,2017-07-17,110.0,EuropaCorp / STXfilms,Spilled,21.0,18152.0,"status strategy collide social experiment competition show online player flirt, befriend catfish way toward $100,000."
m/bright_star,Movie,Bright Star,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin","United Kingdom, Australia, France","Dramas, Romantic Movies",PG,2009-05-15,2012-04-16,119.0,Apparition Films,Upright,68.0,11399.0,drama detail passionate three-year romance romantic poet john keats – died tragically age 25 – great love muse.
m/here_and_there,Movie,Here and There,JP Habac,"Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon",Unknown,"Dramas, International Movies, Romantic Movies",NR,2010-05-14,2013-12-04,85.0,Independant Pictures,Upright,67.0,244.0,"meeting heated exchange social media, two people different background begin online romance midst pandemic."
m/in_the_cut,Movie,In the Cut,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer","United Kingdom, Australia, France, United States",Thrillers,R,2003-10-22,2016-04-19,118.0,Sony Pictures,Spilled,34.0,12821.0,"embarking affair cop probing murder young woman, insular schoolteacher suspect lover involved crime."
m/cinderella_story,Movie,A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada","Children & Family Movies, Comedies",PG,2004-07-16,2011-05-01,95.0,Warner Bros. Pictures,Spilled,53.0,31659732.0,teen sam meet boy dream dance returning toil stepmother's diner. lost cell phone bring together?
m/unfinished_life,Movie,An Unfinished Life,Lasse Hallström,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson","Germany, United States",Dramas,PG-13,2005-09-09,2016-08-26,107.0,Miramax Films,Upright,67.0,60896.0,"grieving widow daughter move estranged father-in-law wyoming, time allows heal forgive."
m/chappie,Movie,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States","Action & Adventure, Sci-Fi & Fantasy",R,2015-03-06,2016-11-30,120.0,Sony Pictures,Spilled,56.0,49777.0,"futuristic society indestructible robot police force keep crime bay, lone droid evolves next level artificial intelligence."
m/clear_and_present_danger,Movie,Clear and Present Danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz","United States, Mexico","Action & Adventure, Dramas",PG-13,1994-08-03,2013-08-01,141.0,Paramount Home Video,Upright,74.0,61740.0,"president's friend murdered, cia deputy director jack ryan becomes unwittingly involved illegal war colombian drug cartel."
m/1044214-cliffhanger,Movie,Cliffhanger,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield","United States, Italy, France, Japan",Action & Adventure,R,1993-05-28,2015-05-08,112.0,TriStar Pictures,Spilled,52.0,182909.0,"ranger gabe walker partner called rescue group stranded climbers, learn climber actually thieving hijackers."
m/cold_mountain,Movie,Cold Mountain,Anthony Minghella,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone","United States, Italy, Romania, United Kingdom","Dramas, Romantic Movies",R,2003-12-25,2016-08-26,155.0,Miramax Films,Upright,77.0,209910.0,"drama follows wounded civil war soldier making long journey home, faraway love fight survival deceased father's farm."
m/crocodile_dundee_in_los_angeles,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson","Australia, United States","Action & Adventure, Comedies",PG,2001-04-20,2013-08-01,92.0,Paramount,Spilled,25.0,171802.0,"mick ""crocodile"" dundee family land los angeles, soon learn lesson american life comedy sequel."
m/dear_john,Movie,Dear John,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,"Dramas, Romantic Movies",PG-13,2010-02-05,2012-04-16,107.0,Screen Gems/SONY PICTURES,Spilled,55.0,619059.0,"summer leave, u.s. soldier fall college student. he's forced reenlist, handwritten letter hold lover together."
m/do_the_right_thing,Movie,Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",United States,"Classic Movies, Comedies, Dramas",R,1989-06-14,2015-10-30,120.0,Universal Pictures,Upright,90.0,73719.0,"sweltering day brooklyn, simmering racial tension resident rise surface ignite rage, violence tragedy."
m/extraction_2015,Movie,Extraction,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen","United States, United Kingdom, Canada",Action & Adventure,R,2015-12-18,2016-12-18,83.0,Lionsgate Premiere,Spilled,17.0,1093.0,"retired cia agent kidnapped, son, government analyst, embarks unauthorized mission find halt terrorist plot."
m/freedom_writers,Movie,Freedom Writers,Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith","Germany, United States",Dramas,PG-13,2007-01-12,2014-06-06,123.0,Paramount Pictures,Upright,87.0,293506.0,"at-risk student reading classic ""the diary anne frank,"" teacher asks keep journal troubled lives."
m/green_lantern,Movie,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2011-06-17,2013-11-15,114.0,Warner Bros. Pictures,Spilled,45.0,149310.0,test pilot hal jordan harness glowing new power good wear otherworldly ring help intergalactic force stop powerful threat.
m/house_party,Movie,House Party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,"Comedies, Cult Movies",R,1990-03-09,2013-04-19,100.0,Sony Pictures Home Entertainment,Upright,82.0,38568.0,"grounded strict father, kid risk life limb go best friend play's big bash experience one obstacle another."
m/house_party_2,Movie,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",United States,"Comedies, Cult Movies, Music & Musicals",R,1991-10-23,2013-04-19,94.0,New Line Home Entertainment,Upright,65.0,19772.0,"kid go college scholarship money play loses kid's tuition fund shady music promoter, devise wild plan raise cash."
m/house_party_3,Movie,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",United States,"Comedies, Music & Musicals",R,1994-01-12,2013-04-19,93.0,Sony Pictures Home Entertainment,Upright,67.0,9423.0,"kid get engaged, play plan throw biggest bachelor party ever. every celebration two always come complications."
m/1092437-in_too_deep,Movie,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",United States,Thrillers,R,1999-08-25,2016-10-18,104.0,Dimension Films,Upright,75.0,7531.0,"rookie cop jeffrey cole pose drug dealer take crime lord soon get caught underworld bribery, intimidation murder."
m/initial_d_2005,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee","China, Hong Kong","Action & Adventure, International Movies",NR,2005-10-14,2018-08-01,107.0,Basic Pictures,Upright,72.0,17344.0,"day, 18-year-old delivers tofu father, retired race car driver; night, teen's turn take wheel."
m/labyrinth,Movie,Labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States","Action & Adventure, Children & Family Movies, Cult Movies",PG,1986-06-27,2011-10-09,101.0,Sony Pictures Home Entertainment,Upright,86.0,373332.0,"jim henson's fantasy, teen sarah embarks life-altering quest rescue little brother clutch treacherous goblin."
m/letters_to_juliet,Movie,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",United States,"Comedies, Dramas, Romantic Movies",PG,2010-05-14,2015-12-04,105.0,Summit Entertainment,Upright,62.0,258122.0,"responding letter addressed shakespeare's tragic heroine juliet capulet, american woman verona, italy, led search romance."
m/level_16,Movie,Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,"Sci-Fi & Fantasy, Thrillers",NR,2019-03-01,2019-03-01,102.0,Dark Sky Films,Upright,66.0,128.0,"bleak academy teach girl virtue passivity, two student uncover ghastly purpose behind training resolve escape."
m/marshall,Movie,Marshall,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss","United States, China, Hong Kong",Dramas,PG-13,2017-10-13,2017-12-26,118.0,Open Road Films,Upright,84.0,8667.0,"biopic thurgood marshall, first black u.s. supreme court justice, center pivotal work sensational case naacp lawyer."
m/mystery_men,Movie,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",United States,"Action & Adventure, Comedies",PG-13,1999-08-06,2015-09-10,120.0,Universal Pictures,Spilled,57.0,133266.0,team far-from-super hero try earn respect springing action brave dashing captain amazing disappears.
m/once_upon_a_time_in_america,Movie,Once Upon a Time in America,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden","Italy, United States","Classic Movies, Dramas",R,1984-06-01,2015-12-12,139.0,Warner Home Video,Upright,93.0,74939.0,director sergio leone's sprawling crime epic follows group jewish mobster rise rank organized crime 1920s new york city.
m/osmosis_jones,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",United States,"Action & Adventure, Children & Family Movies, Comedies",PG,2001-08-10,2007-12-03,98.0,Warner Bros. Pictures,Spilled,41.0,62693.0,peter bobby farrelly outdo partially animated tale out-of-shape 40-year-old man who's host various organisms.
m/poseidon,Movie,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",United States,"Action & Adventure, Dramas",PG-13,2006-05-12,2014-07-24,98.0,Warner Bros. Pictures,Spilled,43.0,342101.0,"tidal wave spell disaster ship new year's eve reveler capsizes mammoth vessel, sending passenger battle survival."
m/school_of_rock,Movie,School of Rock,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green","United States, Germany","Comedies, Music & Musicals",PG-13,2003-10-03,2013-08-01,108.0,Paramount Pictures,Upright,64.0,32784354.0,"musician dewey finn get job fourth-grade substitute teacher, secretly begin teaching student finer point rock 'n' roll."
m/tears_of_the_sun,Movie,Tears of the Sun,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",United States,"Action & Adventure, Dramas",R,2003-03-07,2016-03-22,115.0,Columbia Pictures,Upright,69.0,119745.0,"navy seal sent war-torn african jungle rescue doctor, realize must also save refugee physician's care."
m/blue_lagoon,Movie,The Blue Lagoon,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",United States,"Dramas, Romantic Movies",R,1980-06-20,2012-04-16,104.0,Sony Pictures Entertainment,Spilled,54.0,55780.0,"two shipwrecked children, stranded year deserted island, fall love teenager attempt forge life isolated paradise."
m/golden_child,Movie,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",United States,"Action & Adventure, Comedies",PG-13,1986-12-12,2014-06-06,91.0,Paramount Home Video,Spilled,47.0,62218.0,fast-talking l.a. social worker go series trap terror find kidnapped tibetan child mystical powers.
m/guns_of_navarone,Movie,The Guns of Navarone,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris","United Kingdom, United States","Action & Adventure, Classic Movies",PG,1961-06-22,2013-05-07,157.0,Columbia Pictures,Upright,86.0,20751.0,"world war ii, british force launch attack designed take massive nazi cannon guard critical sea channel."
m/1105382-interview,Movie,The Interview,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",United States,"Action & Adventure, Comedies",NR,2000-02-18,2017-04-04,101.0,Cinema Guild,Upright,81.0,2605.0,seth rogen james franco star provocative comedy two journalist recruited cia arrange interview kim jong-un.
m/the_interview_2014,Movie,The Interview,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",United States,"Action & Adventure, Comedies",R,2014-12-25,2015-03-03,111.0,Sony Pictures,Spilled,48.0,64370.0,seth rogen james franco star provocative comedy two journalist recruited cia arrange interview kim jong-un.
m/1015348-nutty_professor,Movie,The Nutty Professor,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",United States,"Comedies, Romantic Movies",NR,1963-06-04,2013-08-01,107.0,Paramount Pictures,Upright,67.0,32971.0,"made fun weight, kind brainy professor take dose revolutionary formula change appearance."
m/welcome_home_roscoe_jenkins,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.",United States,Comedies,PG-13,2008-02-08,2015-09-10,114.0,Universal Pictures,Upright,63.0,190270.0,"r.j. travel georgia parents' 50th anniversary. pompously flaunting hollywood lifestyle, must examine he's become."
m/in_the_line_of_fire,Movie,In the Line of Fire,Wolfgang Petersen,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole, Fred Thompson, John Mahoney, Gregory Alan Williams, Jim Curley, Sally Hughes",United States,"Action & Adventure, Classic Movies",R,1993-07-09,2012-04-16,128.0,Sony Pictures Home Entertainment,Upright,79.0,55060.0,twisted yet ingenious killer torment veteran secret service agent who's haunted failure year ago save president john f. kennedy.
m/wind_river_2017,Movie,Wind River,Taylor Sheridan,"Jeremy Renner, Elizabeth Olsen, Jon Bernthal, Gil Birmingham, Kelsey Asbille, Tantoo Cardinal, Teo Briones, Matthew Del Negro, Hugh Dillon, Julia Jones, James Jordan, Eric Lange, Martin Sensmeier, Mason Davis, Graham Greene","United Kingdom, Canada, United States","Dramas, Independent Movies",R,2017-08-04,2017-10-31,111.0,The Weinstein Company,Upright,90.0,29408.0,tracker u.s. fish wildlife service assist rookie fbi agent who's investigating teen girl's murder remote wyoming reservation.
m/the_november_man,Movie,The November Man,Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Eliza Taylor, Caterina Scorsone, Bill Smitrovich, Will Patton, Amila Terzimehic, Lazar Ristovski, Mediha Musliovic","United States, United Kingdom",Action & Adventure,R,2014-08-27,2014-11-24,108.0,Relativity Media,Spilled,46.0,20058.0,"ex-cia agent emerges retirement protect important witness, soon discovers old friend make dangerous enemies."
m/like_crazy,Movie,Like Crazy,Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King",United States,"Dramas, Independent Movies, Romantic Movies",PG-13,2011-10-28,2014-06-06,89.0,Paramount Pictures,Upright,61.0,19438.0,spirited exchange student american man fall love la. romance face uphill battle forced return england.
m/piano,Movie,The Piano,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin, Kerry Walker, Genevieve Lemon, Tungia Baker, Ian Mune","New Zealand, Australia, France, United States","Classic Movies, Dramas, Independent Movies",R,1993-11-19,2016-10-08,120.0,Miramax Films,Upright,86.0,48469.0,"daughter beloved piano tow, mute scottish woman arrives new zealand, gruff loner set seduce her."
m/the_kingdom,TV Show,The Kingdom,Unknown,"Chino Darín, Nancy Dupláa, Joaquín Furriel, Peter Lanzani, Mercedes Morán, Diego Peretti, Vera Spinetta, Nico García Hume, Victoria Almeida, Santiago Korovsky, Patricio Aramburu, Alfonso Tort, Diego Gentile, Néstor Guzzini, Daniel Kuzniecka",Argentina,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",R,2007-09-28,2016-04-19,110.0,Universal Pictures,Upright,76.0,430302.0,"running mate's murder, controversial televangelist becomes argentina's presidential candidate. nothing holy seems."
m/the_railway_man,Movie,The Railway Man,Jonathan Teplitzky,"Colin Firth, Nicole Kidman, Jeremy Irvine, Stellan Skarsgård, Sam Reid, Hiroyuki Sanada, Michael MacKenzie, Tom Stokes","Switzerland, United Kingdom, Australia","Dramas, International Movies",R,2014-04-11,2017-04-04,108.0,The Weinstein Company,Upright,68.0,15541.0,"decade world war ii, still-shattered soldier unexpectedly fall love see bizarre coincidence bring past back focus."
m/quartet_1981,Movie,Quartet,Dustin Hoffman,"Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins, Michael Gambon, Andrew Sachs, Sheridan Smith, David Ryall, Trevor Peacock, Gwyneth Jones",United Kingdom,"Comedies, Dramas, Independent Movies",R,1981-05-01,2019-09-24,101.0,Cohen Film Collection,Spilled,32.0,112.0,"save posh retirement home, former opera star plan gala recital — biggest diva among refuse sing."
m/quartet_2012,Movie,Quartet,Dustin Hoffman,"Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins, Michael Gambon, Andrew Sachs, Sheridan Smith, David Ryall, Trevor Peacock, Gwyneth Jones",United Kingdom,"Comedies, Dramas, Independent Movies",PG-13,2013-01-11,2017-04-01,99.0,The Weinstein Co.,Upright,66.0,11335.0,"save posh retirement home, former opera star plan gala recital — biggest diva among refuse sing."
m/swarm,Movie,The Swarm,Just Philippot,"Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand, Stéphan Castang, Victor Bonnel, Christian Bouillette, Renan Prévot, Vincent Deniard",France,"Horror Movies, Independent Movies, International Movies",PG,1978-07-14,2012-04-12,116.0,Warner Bros. Pictures,Spilled,19.0,4138.0,"single mother breed locust high-protein food, trouble getting reproduce — find taste blood."
