user_id,movie_id,watch_date,completion_rate,location,time_of_day,social_context,mood,device
4779,m/gimme_shelter_2014,2023-04-05,0.74,Outdoor,Night,Alone,Happy,Smartphone
3606,m/the_beguiled,2023-05-02,0.7,Outdoor,Morning,Family,Happy,Smartphone
3737,m/mirror_mirror_2012,2023-08-09,0.71,Work,Night,Partner,Sad,Smartphone
2280,m/long_riders,2023-11-08,0.74,Outdoor,Evening,Alone,Tired,Smartphone
3830,m/clash_of_the_titans_2010,2023-07-16,0.58,Outdoor,Night,Alone,Tired,Smartphone
4106,m/1107809-brother,2023-11-19,0.83,Work,Morning,Alone,Stressed,Smartphone
1175,m/maniac_1934,2023-05-20,0.7,Home,Night,Friends,Sad,Smartphone
1512,m/1202804-green_zone,2023-07-22,0.52,Home,Evening,Alone,Stressed,Smartphone
594,m/laws_of_attraction,2023-12-01,0.84,Outdoor,Afternoon,Alone,Relaxed,Smartphone
3528,m/1210249-last_word,2023-06-17,0.7,Work,Evening,Family,Relaxed,Smartphone
1040,m/1037649-my_girl,2023-10-11,0.7,Travel,Morning,Alone,Sad,Tablet
1543,m/green_hornet,2023-10-17,0.66,Home,Afternoon,Friends,Stressed,Tablet
2290,m/the_tribe_2015,2023-09-05,0.51,Home,Evening,Partner,Excited,Smartphone
426,m/tall_girl,2023-04-03,0.7,Outdoor,Morning,Family,Tired,Laptop
1647,m/before_i_fall,2023-04-21,0.78,Home,Evening,Partner,Tired,Smartphone
2900,m/take_your_pills,2023-08-18,0.55,Travel,Night,Alone,Sad,Laptop
3954,m/the_railway_man,2023-07-13,0.64,Travel,Morning,Friends,Excited,Smartphone
4706,m/signal,2023-10-11,0.7,Work,Morning,Family,Tired,Smartphone
2454,m/sex_doll,2023-05-31,0.7,Work,Evening,Alone,Excited,Smartphone
4518,m/the_dirt_2019,2023-06-30,0.57,Travel,Evening,Family,Excited,Smartphone
1369,m/fruitvale_station,2023-07-06,0.94,Outdoor,Evening,Alone,Tired,Smartphone
2862,m/immoral_tales,2023-03-07,0.53,Work,Evening,Friends,Tired,Laptop
3818,m/collateral_beauty,2023-03-03,0.64,Work,Night,Family,Sad,Smartphone
4525,m/hotel_for_dogs,2023-06-07,0.61,Home,Evening,Family,Excited,Smartphone
3371,m/the_art_of_the_steal,2023-02-03,0.76,Work,Night,Alone,Happy,Smartphone
2390,m/1032176-goodfellas,2023-12-27,0.7,Travel,Afternoon,Alone,Relaxed,Smartphone
1733,m/entanglement_2018,2023-04-14,0.7,Outdoor,Evening,Partner,Stressed,Smart TV
3388,m/somewhere_between_2011,2023-09-07,0.66,Home,Night,Alone,Stressed,Tablet
2783,m/scream_3,2023-06-06,0.7,Home,Evening,Friends,Relaxed,Laptop
1738,m/traitor,2023-02-20,0.63,Outdoor,Afternoon,Partner,Tired,Smartphone
927,m/clash_of_the_titans_2010,2023-01-20,0.7,Travel,Night,Friends,Sad,Smart TV
1256,m/1163962-home,2023-11-07,0.88,Work,Afternoon,Family,Tired,Tablet
1825,m/nails_2017,2023-03-18,0.95,Work,Morning,Partner,Stressed,Laptop
3115,m/lincoln_lawyer,2023-04-09,0.62,Travel,Night,Friends,Stressed,Smartphone
2920,m/red_dawn_2012,2023-08-10,0.78,Home,Afternoon,Friends,Tired,Smartphone
4341,m/savage_dog,2023-08-31,0.57,Travel,Afternoon,Friends,Sad,Smart TV
4189,m/stuart_little,2023-07-16,0.67,Outdoor,Evening,Partner,Sad,Smartphone
4184,m/cook_off,2023-08-30,0.7,Outdoor,Morning,Alone,Stressed,Laptop
461,m/talaash,2023-07-01,0.7,Home,Morning,Family,Tired,Laptop
4210,m/little_evil,2023-06-27,0.73,Home,Evening,Partner,Relaxed,Smartphone
4867,m/for_greater_glory,2023-10-24,0.58,Outdoor,Afternoon,Partner,Happy,Smartphone
3748,m/disconnect_2013,2023-08-20,0.54,Home,Evening,Partner,Sad,Laptop
126,m/the_returned,2023-12-30,0.78,Work,Morning,Family,Tired,Smart TV
2729,m/the_boy_who_harnessed_the_wind,2023-09-14,0.75,Work,Night,Alone,Happy,Smart TV
4774,m/the_space_between_us,2023-06-15,0.65,Travel,Evening,Friends,Relaxed,Smart TV
3339,m/1144992-crash,2023-11-14,0.54,Work,Afternoon,Alone,Tired,Smart TV
2526,m/paranoia_2013,2023-11-14,0.84,Work,Afternoon,Friends,Sad,Smart TV
2611,m/goon,2023-08-24,0.6,Home,Evening,Alone,Happy,Smart TV
2542,m/mona_lisa_smile,2023-02-01,0.7,Outdoor,Afternoon,Alone,Stressed,Smart TV
1845,m/burning_sands_2017,2023-09-06,0.6,Outdoor,Morning,Partner,Tired,Smartphone
1625,m/juanita_2019,2023-05-03,0.83,Travel,Afternoon,Alone,Tired,Tablet
812,m/the_art_of_the_steal,2023-07-15,0.7,Work,Morning,Family,Stressed,Smartphone
1266,m/long_riders,2023-04-08,0.78,Home,Night,Friends,Stressed,Smartphone
506,m/pianist,2023-11-20,0.85,Work,Evening,Alone,Relaxed,Smartphone
823,m/1171939-perfect_stranger,2023-05-27,0.67,Work,Night,Alone,Happy,Laptop
3458,m/domino_2019,2023-01-25,0.59,Travel,Afternoon,Alone,Excited,Tablet
452,m/fractured,2023-11-20,0.54,Travel,Morning,Alone,Relaxed,Tablet
4359,m/bad_rap,2023-10-11,0.87,Outdoor,Morning,Partner,Sad,Tablet
1603,m/the_runner_1999,2023-08-31,0.7,Travel,Evening,Friends,Stressed,Smartphone
2055,m/daddy_issues_2020,2023-05-22,0.75,Travel,Afternoon,Alone,Tired,Smart TV
1926,m/aftermath_2017,2023-01-17,0.64,Outdoor,Morning,Partner,Sad,Smartphone
4931,m/the_artist,2023-08-04,0.73,Home,Night,Family,Stressed,Smartphone
3492,m/1081623-merlin,2023-09-30,0.7,Travel,Evening,Partner,Stressed,Smartphone
4360,m/golmaal-returns,2023-07-21,0.7,Home,Morning,Friends,Excited,Smart TV
3687,m/i_am_woman,2023-07-23,0.53,Outdoor,Afternoon,Friends,Stressed,Smartphone
1159,m/midnight_sun_2018,2023-08-26,0.84,Outdoor,Evening,Alone,Happy,Smartphone
3880,m/calendar_girls,2023-11-29,0.94,Home,Morning,Alone,Happy,Smartphone
2954,m/the_dirt_2019,2023-09-09,0.88,Travel,Evening,Partner,Sad,Smartphone
533,m/last_knights,2023-01-25,0.55,Home,Night,Family,Excited,Smartphone
4461,m/la_bamba,2023-07-19,0.89,Outdoor,Night,Alone,Excited,Smartphone
1098,m/1001240-arthur,2023-11-07,0.7,Work,Afternoon,Friends,Happy,Tablet
1654,m/prince,2023-01-25,0.72,Travel,Afternoon,Friends,Stressed,Smartphone
2477,m/tremors,2023-08-28,0.7,Work,Afternoon,Family,Happy,Smartphone
2157,m/juanita_2019,2023-09-29,0.67,Outdoor,Afternoon,Family,Sad,Smartphone
4924,m/red_trees,2023-01-14,0.84,Travel,Evening,Friends,Sad,Laptop
4294,m/birth_of_the_dragon,2023-05-09,0.87,Work,Night,Partner,Stressed,Laptop
3309,m/next_three_days,2023-10-16,0.9,Work,Afternoon,Partner,Relaxed,Smartphone
4366,m/free_fire,2023-05-08,0.7,Outdoor,Afternoon,Family,Relaxed,Tablet
784,m/point_blank_2019,2023-07-30,0.99,Home,Evening,Partner,Relaxed,Smartphone
690,m/10009636-igor,2023-03-02,0.7,Outdoor,Evening,Friends,Excited,Smartphone
4186,m/hostiles,2023-08-07,0.68,Work,Night,Partner,Stressed,Laptop
4131,m/1074465-michael,2023-04-07,0.7,Travel,Night,Friends,Happy,Smartphone
4672,m/big_kill,2023-03-05,0.82,Outdoor,Afternoon,Friends,Stressed,Smartphone
4623,m/compulsion,2023-04-09,0.9,Outdoor,Evening,Family,Tired,Smartphone
24,m/1080867-rainmaker,2023-01-28,0.67,Travel,Afternoon,Family,Relaxed,Laptop
2052,m/the_eyes_of_my_mother_2016,2023-10-23,0.97,Outdoor,Morning,Partner,Stressed,Smart TV
4939,m/what_keeps_you_alive,2023-03-08,0.56,Work,Morning,Partner,Stressed,Tablet
4860,m/transcendence_2014,2023-10-07,0.7,Home,Night,Partner,Relaxed,Smartphone
667,m/uncorked_2020,2023-07-17,0.68,Home,Afternoon,Alone,Excited,Smart TV
3322,m/doubt,2023-11-10,0.81,Outdoor,Morning,Alone,Relaxed,Tablet
3082,m/paris_is_us,2023-10-13,0.77,Outdoor,Night,Alone,Relaxed,Tablet
3139,m/unfinished_life,2023-08-01,0.95,Travel,Morning,Friends,Excited,Smartphone
1683,m/velvet_buzzsaw,2023-02-08,0.84,Outdoor,Afternoon,Alone,Sad,Laptop
527,m/the_outsider_2018,2023-04-23,0.52,Outdoor,Morning,Partner,Stressed,Smart TV
4667,m/ghost_rider,2023-01-27,0.7,Outdoor,Night,Partner,Relaxed,Smartphone
3569,m/scream_2,2023-03-11,0.66,Travel,Afternoon,Family,Tired,Smartphone
4359,m/1186122-broken,2023-08-16,0.7,Work,Evening,Alone,Excited,Tablet
3963,m/wolves_2016,2023-01-03,0.7,Outdoor,Morning,Family,Tired,Smartphone
3733,m/the_guernsey_literary_and_potato_peel_pie_society,2023-12-03,0.62,Home,Morning,Friends,Excited,Smart TV
4358,m/tortilla_soup,2023-04-25,0.83,Home,Night,Friends,Tired,Smartphone
43,m/my_entire_high_school_sinking_into_the_sea,2023-05-28,0.7,Home,Morning,Partner,Sad,Smartphone
4008,m/villain_1971,2023-06-27,0.78,Travel,Morning,Partner,Excited,Smartphone
1111,m/boss_2013,2023-08-26,0.73,Outdoor,Afternoon,Friends,Stressed,Smartphone
2448,m/palio,2023-12-20,0.66,Home,Evening,Partner,Stressed,Smart TV
1226,m/angel_has_fallen,2023-01-14,0.95,Home,Morning,Alone,Relaxed,Tablet
1513,m/1035065-possessed,2023-02-22,0.54,Work,Morning,Partner,Happy,Smartphone
1585,m/friend_request,2023-01-30,0.7,Work,Afternoon,Partner,Happy,Laptop
3181,m/grease,2023-07-30,0.7,Travel,Morning,Friends,Sad,Smartphone
3212,m/outsiders,2023-04-18,0.98,Home,Night,Family,Relaxed,Smartphone
1012,m/walking_out,2023-10-03,0.75,Outdoor,Night,Partner,Stressed,Smartphone
585,m/sleight,2023-10-14,0.87,Outdoor,Evening,Family,Happy,Smartphone
2368,m/white_chamber,2023-07-18,0.89,Travel,Morning,Partner,Tired,Smart TV
3509,m/the_darkest_hour,2023-04-20,0.91,Home,Afternoon,Partner,Happy,Smartphone
292,m/the_call_2013,2023-05-30,0.62,Home,Night,Partner,Sad,Smartphone
2066,m/the_duel_2016,2023-06-17,0.92,Work,Night,Family,Stressed,Smartphone
3555,m/the_pirate_fairy_2014,2023-10-06,0.97,Travel,Morning,Family,Sad,Smartphone
2687,m/1212910-warrior,2023-02-10,0.7,Work,Afternoon,Alone,Relaxed,Smartphone
1944,m/hellboy,2023-02-04,0.7,Work,Morning,Partner,Tired,Smartphone
1238,m/hard_way,2023-11-11,0.88,Outdoor,Night,Alone,Sad,Smartphone
2173,m/knock_knock_2015,2023-05-27,0.7,Travel,Evening,Family,Happy,Smartphone
2729,m/calibre,2023-01-30,0.6,Outdoor,Morning,Alone,Tired,Smartphone
2789,m/1019544-spartacus,2023-04-20,0.82,Outdoor,Evening,Family,Sad,Smartphone
769,m/american_me,2023-08-26,0.65,Travel,Morning,Partner,Excited,Smartphone
886,m/easy,2023-08-13,0.87,Outdoor,Night,Family,Excited,Smartphone
1466,m/now_and_then,2023-05-28,0.99,Outdoor,Morning,Friends,Tired,Smartphone
4278,m/been_so_long,2023-07-13,0.7,Travel,Evening,Alone,Tired,Smart TV
4140,m/1003957-chase,2023-02-15,0.87,Outdoor,Night,Friends,Stressed,Smartphone
3423,m/code_8,2023-07-26,0.55,Outdoor,Afternoon,Family,Tired,Smartphone
2785,m/the_american_meme,2023-04-21,0.63,Outdoor,Morning,Partner,Relaxed,Laptop
207,m/waterboy,2023-10-25,0.91,Work,Night,Partner,Happy,Tablet
986,m/la_bamba,2023-08-24,0.51,Outdoor,Night,Alone,Relaxed,Smart TV
3309,m/1006037-doctor_zhivago,2023-08-20,0.9,Outdoor,Evening,Alone,Happy,Smartphone
4647,m/transcendence_2014,2023-06-12,0.63,Work,Evening,Alone,Tired,Smart TV
725,m/the_water_diviner,2023-11-18,0.63,Home,Morning,Friends,Excited,Smartphone
3923,m/adrift_2018,2023-09-23,0.52,Home,Evening,Friends,Tired,Smartphone
223,m/20_feet_from_stardom,2023-01-28,0.7,Outdoor,Morning,Partner,Happy,Smartphone
1779,m/god_knows_where_i_am,2023-07-28,0.82,Home,Evening,Family,Happy,Smartphone
4261,m/crocodile_dundee_in_los_angeles,2023-09-13,0.92,Home,Morning,Family,Excited,Smartphone
1085,m/monster_family,2023-02-16,0.77,Outdoor,Night,Alone,Tired,Smartphone
1775,m/the_call_2013,2023-01-14,0.7,Travel,Evening,Family,Tired,Smartphone
316,m/the_king_2006,2023-02-09,0.7,Travel,Morning,Partner,Tired,Smartphone
3302,m/horns,2023-08-01,0.83,Outdoor,Morning,Alone,Excited,Smartphone
506,m/the_resurrection_of_gavin_stone,2023-04-05,0.7,Home,Morning,Partner,Tired,Smartphone
142,m/long_riders,2023-03-27,0.98,Outdoor,Night,Alone,Tired,Smart TV
3445,m/the_endless,2023-10-06,0.92,Outdoor,Afternoon,Family,Tired,Smartphone
496,m/craft,2023-12-08,0.7,Outdoor,Morning,Partner,Tired,Smartphone
552,m/aftershock_2013,2023-12-26,0.88,Work,Morning,Partner,Tired,Smartphone
3791,m/beguiled,2023-11-09,0.7,Travel,Morning,Friends,Relaxed,Smartphone
1503,m/outsiders,2023-03-29,0.7,Outdoor,Evening,Friends,Happy,Smartphone
1530,m/social_animals,2023-06-11,0.57,Work,Afternoon,Family,Sad,Smartphone
4745,m/the_ritual_2017,2023-10-30,0.7,Outdoor,Afternoon,Partner,Excited,Smart TV
4133,m/chitty_chitty_bang_bang,2023-06-17,0.75,Home,Night,Alone,Happy,Tablet
1970,m/1066170-kicking_and_screaming,2023-12-13,0.83,Outdoor,Evening,Friends,Tired,Smartphone
2382,m/delhi_belly_2011,2023-11-29,0.63,Work,Afternoon,Partner,Relaxed,Smartphone
1312,m/blood_father,2023-04-02,0.86,Travel,Morning,Friends,Relaxed,Laptop
583,m/christine_2016,2023-12-11,0.84,Home,Evening,Family,Stressed,Smartphone
1578,m/life_overtakes_me,2023-08-13,0.77,Outdoor,Morning,Family,Excited,Smartphone
1860,m/10006856-requiem,2023-08-14,0.7,Travel,Night,Friends,Stressed,Smart TV
3080,m/skiptrace,2023-01-07,0.9,Travel,Morning,Family,Stressed,Smartphone
4025,m/stuart_little_2,2023-03-01,0.89,Outdoor,Morning,Friends,Tired,Smartphone
68,m/good_burger,2023-09-27,0.7,Home,Evening,Partner,Stressed,Laptop
1735,m/legally_blonde,2023-11-22,0.84,Outdoor,Evening,Family,Stressed,Smartphone
3622,m/chappaquiddick,2023-08-21,0.7,Travel,Afternoon,Friends,Happy,Smartphone
583,m/the_conjuring,2023-06-12,0.86,Work,Evening,Partner,Stressed,Smartphone
3967,m/easy-a,2023-12-13,0.7,Work,Afternoon,Friends,Excited,Smartphone
961,m/arme_riddere,2023-08-15,0.95,Travel,Morning,Partner,Tired,Smartphone
3689,m/road_to_love_2001,2023-07-21,0.5,Travel,Evening,Alone,Excited,Smartphone
3016,m/longshots,2023-10-14,0.6,Travel,Afternoon,Alone,Tired,Smartphone
66,m/he_named_me_malala,2023-07-09,0.7,Work,Evening,Alone,Relaxed,Smart TV
3726,m/maximum_risk,2023-09-24,0.5,Travel,Morning,Partner,Happy,Smartphone
1485,m/safe,2023-10-27,0.72,Work,Morning,Alone,Excited,Tablet
533,m/mona_lisa_smile,2023-07-13,0.8,Travel,Night,Friends,Stressed,Smart TV
1568,m/10011774-chloe,2023-09-30,0.56,Work,Evening,Friends,Sad,Smartphone
2076,m/the_prince_2015,2023-11-12,0.84,Travel,Night,Partner,Relaxed,Smartphone
4986,m/vincent_n_roxxy,2023-10-22,0.59,Outdoor,Evening,Partner,Stressed,Laptop
464,m/1012871-lovesick,2023-12-20,0.76,Outdoor,Night,Friends,Stressed,Smartphone
854,m/deep,2023-04-05,0.98,Travel,Evening,Alone,Relaxed,Laptop
3428,m/chronically_metropolitan,2023-06-26,0.96,Travel,Night,Family,Tired,Tablet
714,m/just_friends,2023-03-07,0.7,Outdoor,Evening,Alone,Relaxed,Laptop
333,m/the_girl_on_the_train_2016,2023-08-16,0.82,Travel,Evening,Family,Relaxed,Tablet
2809,m/grease,2023-08-21,0.51,Home,Evening,Friends,Tired,Smartphone
3448,m/signal,2023-05-05,0.69,Travel,Evening,Partner,Happy,Smartphone
155,m/final_destination_final_death_trip_3D,2023-06-14,0.7,Home,Evening,Family,Excited,Smartphone
3455,m/bully,2023-02-07,0.84,Travel,Night,Alone,Relaxed,Smart TV
4559,m/mud_2012,2023-12-30,0.72,Travel,Afternoon,Alone,Excited,Smartphone
689,m/hook,2023-06-01,0.7,Outdoor,Evening,Alone,Excited,Smartphone
4980,m/open_season,2023-12-06,0.51,Work,Morning,Alone,Tired,Tablet
973,m/6_balloons,2023-06-14,0.57,Travel,Morning,Alone,Sad,Smartphone
4807,m/the_week_of,2023-04-09,0.82,Travel,Afternoon,Family,Sad,Laptop
3219,m/10007538-silence,2023-10-29,0.7,Travel,Afternoon,Family,Sad,Smart TV
3683,m/last_knights,2023-03-28,0.52,Home,Afternoon,Family,Excited,Smartphone
3060,m/the_rachel_divide,2023-12-09,0.65,Home,Morning,Alone,Tired,Smartphone
4441,m/cool_hand_luke,2023-12-14,0.58,Travel,Morning,Partner,Excited,Smartphone
371,m/christmas_inheritance,2023-02-05,0.54,Home,Evening,Alone,Sad,Smartphone
311,m/detention_2011,2023-01-31,0.55,Outdoor,Morning,Family,Sad,Smart TV
2589,m/the_captive_2014,2023-02-11,0.82,Home,Night,Family,Stressed,Smartphone
2627,m/the_end,2023-12-04,0.64,Travel,Morning,Partner,Sad,Smart TV
2147,m/await_further_instructions,2023-08-07,0.67,Home,Afternoon,Alone,Stressed,Smartphone
4414,m/jonathan_2018,2023-04-13,0.58,Outdoor,Afternoon,Partner,Sad,Smartphone
1447,m/young_adult,2023-11-21,0.7,Outdoor,Evening,Friends,Sad,Smartphone
557,m/maximum_risk,2023-11-15,0.81,Work,Afternoon,Partner,Sad,Laptop
3212,m/other_guys,2023-07-20,0.7,Home,Morning,Family,Tired,Laptop
4076,m/unknown_2011,2023-07-06,0.7,Outdoor,Afternoon,Alone,Sad,Smartphone
1092,m/1084881-lolita,2023-08-08,0.95,Outdoor,Morning,Partner,Excited,Smart TV
4953,m/framing_john_delorean,2023-10-07,0.7,Outdoor,Morning,Partner,Relaxed,Smartphone
748,m/first_they_killed_my_father,2023-02-02,0.62,Work,Evening,Alone,Stressed,Smartphone
1295,m/the_grief_tourist,2023-06-27,0.53,Home,Night,Friends,Stressed,Smartphone
3679,m/villain_2020,2023-05-05,0.53,Home,Afternoon,Family,Happy,Laptop
3832,m/blood_father,2023-11-29,0.84,Travel,Afternoon,Partner,Relaxed,Laptop
4652,m/message_from_the_king,2023-11-06,0.7,Home,Afternoon,Friends,Relaxed,Smartphone
1766,m/1189416-shelter,2023-10-31,0.7,Outdoor,Night,Family,Happy,Tablet
723,m/the_girl_with_the_dragon_tattoo,2023-06-26,0.7,Travel,Evening,Friends,Sad,Laptop
801,m/1093843-mansfield_park,2023-04-21,0.97,Home,Night,Partner,Relaxed,Smartphone
2681,m/brave_one,2023-09-10,0.7,Home,Morning,Family,Happy,Laptop
4717,m/1014482-mutiny_on_the_bounty,2023-07-02,0.71,Travel,Afternoon,Alone,Relaxed,Smartphone
1125,m/monster_house,2023-04-13,0.7,Travel,Night,Friends,Relaxed,Smart TV
2245,m/get_santa,2023-03-07,0.92,Home,Night,Partner,Excited,Smart TV
1356,m/karate_kid,2023-11-27,0.83,Travel,Morning,Partner,Stressed,Laptop
639,m/the_titan,2023-01-16,0.77,Home,Afternoon,Partner,Excited,Smart TV
1853,m/1074675-1074675-metro,2023-02-07,0.52,Work,Evening,Alone,Sad,Smartphone
2918,m/spenser_confidential,2023-09-17,0.77,Outdoor,Night,Friends,Tired,Laptop
2468,m/carrie_1952,2023-08-19,0.76,Work,Morning,Friends,Excited,Smartphone
3051,m/mist,2023-08-07,0.7,Home,Afternoon,Alone,Happy,Tablet
1994,m/clouds_of_sils_maria,2023-09-12,0.7,Work,Evening,Friends,Tired,Smartphone
435,m/menashe,2023-06-14,0.87,Outdoor,Evening,Alone,Happy,Smartphone
1633,m/10006057-moonlight,2023-10-01,0.86,Travel,Night,Friends,Stressed,Smart TV
1649,m/drunk_parents,2023-04-08,0.7,Work,Night,Friends,Excited,Smartphone
2443,m/movie_43,2023-07-06,0.7,Outdoor,Afternoon,Alone,Relaxed,Smartphone
4846,m/next_karate_kid,2023-03-19,0.7,Home,Night,Alone,Tired,Smartphone
1444,m/the_ottoman_lieutenant,2023-08-21,0.7,Home,Night,Friends,Stressed,Smartphone
1806,m/search_party,2023-11-13,0.99,Travel,Night,Family,Stressed,Smartphone
4450,m/the_girl_with_the_dragon_tattoo_2009,2023-03-12,0.6,Travel,Morning,Partner,Relaxed,Smartphone
1475,m/middle_men,2023-04-04,0.67,Work,Night,Alone,Stressed,Smartphone
